market_and_exchange_names
AECO FIN BASIS - ICE FUTURES ENERGY DIV
ALGONQUIN CITYGATES BASIS - ICE FUTURES ENERGY DIV
ALGONQUIN CITYGATES INDEX - ICE FUTURES ENERGY DIV
ARGUS CIF ARA Lg Finl Propane - ICE FUTURES ENERGY DIV
ARGUS FAR EAST PROPANE - ICE FUTURES ENERGY DIV
ARGUS PROPANE FAR EAST INDEX - NEW YORK MERCANTILE EXCHANGE
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
BITCOIN - CHICAGO MERCANTILE EXCHANGE
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE
BUTANE OPIS MT BELV NONTET FP - ICE FUTURES ENERGY DIV
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
CG Mainline Basis - ICE FUTURES ENERGY DIV
CG-MAINLINE FINANCIAL INDEX - ICE FUTURES ENERGY DIV
CHICAGO CITYGATE (INDEX) - ICE FUTURES ENERGY DIV
CHICAGO FIN BASIS - ICE FUTURES ENERGY DIV
CIG ROCKIES BASIS - ICE FUTURES ENERGY DIV
CIG ROCKIES FINANCIAL INDEX - ICE FUTURES ENERGY DIV
CONWAY PROPANE (OPIS) - NEW YORK MERCANTILE EXCHANGE
DOMINION - SOUTH POINT (BASIS) - ICE FUTURES ENERGY DIV
DOMINION - SOUTH POINT - ICE FUTURES ENERGY DIV
EP SAN JUAN BASIS - ICE FUTURES ENERGY DIV
"ETHANE, MT. BELV-ENTERPRISE - ICE FUTURES ENERGY DIV"
ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE
EURO FX - CHICAGO MERCANTILE EXCHANGE
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE
HENRY HUB - NEW YORK MERCANTILE EXCHANGE
HENRY HUB BASIS - ICE FUTURES ENERGY DIV
HENRY HUB INDEX - ICE FUTURES ENERGY DIV
HENRY HUB LAST DAY FIN - NEW YORK MERCANTILE EXCHANGE
HENRY HUB PENULTIMATE FIN - NEW YORK MERCANTILE EXCHANGE
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE
HOUSTON SHIP CHANNEL (INDEX) - ICE FUTURES ENERGY DIV
HSC FIN BASIS - ICE FUTURES ENERGY DIV
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
MALIN (BASIS) - ICE FUTURES ENERGY DIV
MICHCON BASIS - ICE FUTURES ENERGY DIV
MICHCON FINANCIAL INDEX - ICE FUTURES ENERGY DIV
MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE
MICRO ETHER - CHICAGO MERCANTILE EXCHANGE
